#GBE_ID	PRS	phenotype	PRS_pheno	BETA	P	fdr
INI23014	INI30140_PRS	LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus	Neutrophill count	0.012 (0.001,0.024)	2.93e-01	0.542382844247869
INI23030	INI30120_PRS	E6 antigen for Human Papillomavirus type-16	Lymphocyte count	0.012 (0.001,0.024)	2.96e-01	0.542800105787214
INI23011	INI30000_PRS	IE1B antigen for Human Herpesvirus-6	White blood cell count	0.013 (0.001,0.025)	2.97e-01	0.542800105787214
INI23022	INI30190_PRS	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	Monocyte %	0.012 (0.000,0.024)	2.99e-01	0.542800105787214
INI23033	INI30140_PRS	Momp D antigen for Chlamydia trachomatis	Neutrophill count	0.012 (0.000,0.024)	3.00e-01	0.542800105787214
INI23023	INI30210_PRS	HTLV-1 env antigen for Human T-Lymphotropic Virus 1	Eosinophill %	0.012 (0.000,0.024)	3.06e-01	0.542800105787214
INI23025	INI30210_PRS	HIV-1 env antigen for Human Immunodeficiency Virus	Eosinophill %	0.012 (0.000,0.025)	3.07e-01	0.542800105787214
INI23044	INI30190_PRS	UreA antigen for Helicobacter pylori	Monocyte %	0.012 (0.000,0.024)	3.08e-01	0.542800105787214
INI23043	INI30210_PRS	Catalase antigen for Helicobacter pylori	Eosinophill %	0.012 (0.000,0.024)	3.09e-01	0.542800105787214
INI23039	INI30200_PRS	CagA antigen for Helicobacter pylori	Neutrophill %	-0.017 (-0.034,-0.000)	3.10e-01	0.542800105787214
INI23028	INI30000_PRS	MC VP1 antigen for Merkel Cell Polyomavirus	White blood cell count	0.012 (0.000,0.025)	3.10e-01	0.542800105787214
INI23035	INI30000_PRS	Tarp-D F1 antigen for Chlamydia trachomatis	White blood cell count	0.012 (0.000,0.023)	3.10e-01	0.542800105787214
INI23013	INI30190_PRS	U14 antigen for Human Herpesvirus-7	Monocyte %	0.012 (0.000,0.024)	3.11e-01	0.542800105787214
INI23020	INI30120_PRS	P22 antigen for Toxoplasma gondii	Lymphocyte count	0.012 (-0.000,0.024)	3.23e-01	0.55968791128701
INI23004	INI30200_PRS	EBNA-1 antigen for Epstein-Barr Virus	Neutrophill %	-0.012 (-0.024,0.000)	3.34e-01	0.576438497110222
INI23016	INI30140_PRS	HBc antigen for Hepatitis B Virus	Neutrophill count	-0.011 (-0.022,0.000)	3.37e-01	0.576438497110222
INI23022	INI30180_PRS	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	Lymphocyte %	0.011 (-0.000,0.023)	3.37e-01	0.576438497110222
INI23003	INI30180_PRS	VCA p18 antigen for Epstein-Barr Virus	Lymphocyte %	0.012 (-0.001,0.024)	3.42e-01	0.580044676376121
INI23032	INI30190_PRS	L1 antigen for Human Papillomavirus type-18	Monocyte %	0.011 (-0.001,0.024)	3.45e-01	0.580044676376121
INI23043	INI30190_PRS	Catalase antigen for Helicobacter pylori	Monocyte %	0.011 (-0.001,0.024)	3.46e-01	0.580044676376121
INI23017	INI30210_PRS	HBe antigen for Hepatitis B Virus	Eosinophill %	0.011 (-0.001,0.023)	3.46e-01	0.580044676376121
INI23018	INI30150_PRS	Core antigen for Hepatitis C Virus	Eosinophill count	0.010 (-0.001,0.021)	3.49e-01	0.580919902129336
INI23017	INI30140_PRS	HBe antigen for Hepatitis B Virus	Neutrophill count	-0.011 (-0.023,0.001)	3.50e-01	0.580919902129336
INI23003	INI30210_PRS	VCA p18 antigen for Epstein-Barr Virus	Eosinophill %	0.011 (-0.001,0.024)	3.54e-01	0.58344520347559
INI23000	INI30200_PRS	1gG antigen for Herpes Simplex virus-1	Neutrophill %	-0.011 (-0.023,0.001)	3.55e-01	0.58344520347559
INI23022	INI30150_PRS	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	Eosinophill count	0.011 (-0.001,0.023)	3.58e-01	0.58606085473573
INI23034	INI30000_PRS	Momp A antigen for Chlamydia trachomatis	White blood cell count	0.011 (-0.001,0.023)	3.61e-01	0.587986025861541
INI23018	INI30120_PRS	Core antigen for Hepatitis C Virus	Lymphocyte count	0.010 (-0.001,0.021)	3.63e-01	0.589258137743923
INI23004	INI30150_PRS	EBNA-1 antigen for Epstein-Barr Virus	Eosinophill count	0.011 (-0.001,0.023)	3.67e-01	0.592389079404185
INI23010	INI30210_PRS	IE1A antigen for Human Herpesvirus-6	Eosinophill %	0.011 (-0.001,0.023)	3.69e-01	0.592389079404185
INI23030	INI30180_PRS	E6 antigen for Human Papillomavirus type-16	Lymphocyte %	0.010 (-0.001,0.022)	3.74e-01	0.595483947331104
INI23019	INI30140_PRS	NS3 antigen for Hepatitis C Virus	Neutrophill count	0.011 (-0.001,0.023)	3.74e-01	0.595483947331104
INI23005	INI30200_PRS	ZEBRA antigen for Epstein-Barr Virus	Neutrophill %	0.011 (-0.001,0.023)	3.78e-01	0.599730469579486
INI23039	INI30190_PRS	CagA antigen for Helicobacter pylori	Monocyte %	0.015 (-0.002,0.032)	3.83e-01	0.605290819036888
INI23034	INI30150_PRS	Momp A antigen for Chlamydia trachomatis	Eosinophill count	0.011 (-0.002,0.023)	3.87e-01	0.607946554512622
INI23035	INI30210_PRS	Tarp-D F1 antigen for Chlamydia trachomatis	Eosinophill %	-0.010 (-0.021,0.002)	3.95e-01	0.615839917506485
INI23031	INI30150_PRS	E7 antigen for Human Papillomavirus type-16	Eosinophill count	0.010 (-0.002,0.022)	3.96e-01	0.615839917506485
INI23035	INI30200_PRS	Tarp-D F1 antigen for Chlamydia trachomatis	Neutrophill %	0.010 (-0.002,0.021)	4.00e-01	0.615839917506485
INI23033	INI30000_PRS	Momp D antigen for Chlamydia trachomatis	White blood cell count	0.010 (-0.002,0.022)	4.01e-01	0.615839917506485
INI23036	INI30190_PRS	Tarp-D F2 antigen for Chlamydia trachomatis	Monocyte %	0.010 (-0.002,0.022)	4.02e-01	0.615839917506485
INI23042	INI30200_PRS	GroEL antigen for Helicobacter pylori	Neutrophill %	-0.010 (-0.021,0.002)	4.04e-01	0.615839917506485
INI23017	INI30150_PRS	HBe antigen for Hepatitis B Virus	Eosinophill count	0.010 (-0.002,0.022)	4.04e-01	0.615839917506485
INI23003	INI30120_PRS	VCA p18 antigen for Epstein-Barr Virus	Lymphocyte count	0.010 (-0.002,0.022)	4.07e-01	0.615839917506485
INI23031	INI30180_PRS	E7 antigen for Human Papillomavirus type-16	Lymphocyte %	0.010 (-0.002,0.022)	4.10e-01	0.615839917506485
INI23033	INI30190_PRS	Momp D antigen for Chlamydia trachomatis	Monocyte %	0.010 (-0.002,0.022)	4.10e-01	0.615839917506485
INI23011	INI30150_PRS	IE1B antigen for Human Herpesvirus-6	Eosinophill count	0.010 (-0.002,0.022)	4.12e-01	0.615839917506485
INI23028	INI30210_PRS	MC VP1 antigen for Merkel Cell Polyomavirus	Eosinophill %	-0.010 (-0.022,0.002)	4.13e-01	0.615839917506485
INI23016	INI30190_PRS	HBc antigen for Hepatitis B Virus	Monocyte %	0.009 (-0.002,0.020)	4.15e-01	0.616251449515566
INI23013	INI30120_PRS	U14 antigen for Human Herpesvirus-7	Lymphocyte count	-0.010 (-0.022,0.002)	4.19e-01	0.61844462566532
INI23005	INI30000_PRS	ZEBRA antigen for Epstein-Barr Virus	White blood cell count	0.010 (-0.002,0.022)	4.20e-01	0.61844462566532
INI23013	INI30000_PRS	U14 antigen for Human Herpesvirus-7	White blood cell count	-0.010 (-0.022,0.002)	4.25e-01	0.623493101266383
INI23012	INI30190_PRS	P101 k antigen for Human Herpesvirus-6	Monocyte %	0.009 (-0.003,0.021)	4.35e-01	0.635376825040787
INI23011	INI30140_PRS	IE1B antigen for Human Herpesvirus-6	Neutrophill count	0.009 (-0.003,0.022)	4.47e-01	0.649095505954965
INI23039	INI30150_PRS	CagA antigen for Helicobacter pylori	Eosinophill count	0.013 (-0.004,0.030)	4.48e-01	0.649095505954965
INI23002	INI30200_PRS	GE / gI antigen for Varicella Zoster Virus	Neutrophill %	0.009 (-0.003,0.021)	4.52e-01	0.652741360619597
INI23018	INI30180_PRS	Core antigen for Hepatitis C Virus	Lymphocyte %	0.008 (-0.003,0.019)	4.66e-01	0.668914510741982
INI23012	INI30000_PRS	P101 k antigen for Human Herpesvirus-6	White blood cell count	-0.009 (-0.020,0.003)	4.68e-01	0.668914510741982
INI23027	INI30140_PRS	JC VP1 antigen for Human Polyomavirus JCV	Neutrophill count	-0.009 (-0.021,0.003)	4.69e-01	0.668914510741982
INI23031	INI30000_PRS	E7 antigen for Human Papillomavirus type-16	White blood cell count	0.008 (-0.003,0.020)	4.75e-01	0.674078867090272
INI23012	INI30210_PRS	P101 k antigen for Human Herpesvirus-6	Eosinophill %	-0.008 (-0.020,0.003)	4.82e-01	0.681093879886699
INI23027	INI30200_PRS	JC VP1 antigen for Human Polyomavirus JCV	Neutrophill %	-0.009 (-0.021,0.004)	4.85e-01	0.68244889572435
INI23008	INI30190_PRS	Pp 52 antigen for Human Cytomegalovirus	Monocyte %	0.008 (-0.004,0.020)	4.90e-01	0.68741235818879
INI23044	INI30200_PRS	UreA antigen for Helicobacter pylori	Neutrophill %	-0.008 (-0.020,0.004)	4.92e-01	0.687549022950638
INI23030	INI30150_PRS	E6 antigen for Human Papillomavirus type-16	Eosinophill count	0.008 (-0.004,0.019)	4.94e-01	0.687817039489
INI23041	INI30150_PRS	OMP antigen for Helicobacter pylori	Eosinophill count	0.008 (-0.004,0.020)	4.97e-01	0.689384263153061
INI23039	INI30210_PRS	CagA antigen for Helicobacter pylori	Eosinophill %	0.011 (-0.006,0.028)	5.04e-01	0.694816661056035
INI23034	INI30180_PRS	Momp A antigen for Chlamydia trachomatis	Lymphocyte %	-0.008 (-0.020,0.004)	5.05e-01	0.694816661056035
INI23014	INI30190_PRS	LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus	Monocyte %	0.008 (-0.004,0.019)	5.10e-01	0.697965673574747
INI23012	INI30150_PRS	P101 k antigen for Human Herpesvirus-6	Eosinophill count	-0.008 (-0.019,0.004)	5.17e-01	0.704860182874297
INI23033	INI30120_PRS	Momp D antigen for Chlamydia trachomatis	Lymphocyte count	-0.008 (-0.020,0.004)	5.22e-01	0.70938892441285
INI23039	INI30140_PRS	CagA antigen for Helicobacter pylori	Neutrophill count	0.011 (-0.006,0.028)	5.28e-01	0.714846718785281
INI23004	INI30190_PRS	EBNA-1 antigen for Epstein-Barr Virus	Monocyte %	0.008 (-0.005,0.020)	5.33e-01	0.718589841053867
INI23001	INI30140_PRS	2mgG unique antigen for Herpes Simplex virus-2	Neutrophill count	0.007 (-0.005,0.020)	5.35e-01	0.718987578928255
INI23028	INI30200_PRS	MC VP1 antigen for Merkel Cell Polyomavirus	Neutrophill %	-0.008 (-0.020,0.005)	5.38e-01	0.719785023027235
INI23037	INI30120_PRS	PorB antigen for Chlamydia trachomatis	Lymphocyte count	0.007 (-0.005,0.020)	5.41e-01	0.721240224746011
INI23028	INI30140_PRS	MC VP1 antigen for Merkel Cell Polyomavirus	Neutrophill count	0.007 (-0.005,0.020)	5.49e-01	0.729500788932392
INI23028	INI30150_PRS	MC VP1 antigen for Merkel Cell Polyomavirus	Eosinophill count	-0.007 (-0.019,0.005)	5.53e-01	0.729500788932392
INI23041	INI30200_PRS	OMP antigen for Helicobacter pylori	Neutrophill %	-0.007 (-0.019,0.005)	5.53e-01	0.729500788932392
INI23038	INI30200_PRS	PGP3 antigen for Chlamydia trachomatis	Neutrophill %	0.007 (-0.005,0.018)	5.63e-01	0.738539049680097
INI23033	INI30150_PRS	Momp D antigen for Chlamydia trachomatis	Eosinophill count	0.007 (-0.005,0.019)	5.65e-01	0.738539049680097
INI23039	INI30180_PRS	CagA antigen for Helicobacter pylori	Lymphocyte %	-0.010 (-0.027,0.007)	5.66e-01	0.738539049680097
INI23002	INI30140_PRS	GE / gI antigen for Varicella Zoster Virus	Neutrophill count	0.007 (-0.005,0.019)	5.70e-01	0.740722752914844
INI23031	INI30210_PRS	E7 antigen for Human Papillomavirus type-16	Eosinophill %	0.007 (-0.005,0.018)	5.74e-01	0.742766159440867
INI23022	INI30210_PRS	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	Eosinophill %	0.007 (-0.005,0.019)	5.76e-01	0.742766159440867
INI23036	INI30210_PRS	Tarp-D F2 antigen for Chlamydia trachomatis	Eosinophill %	0.007 (-0.005,0.019)	5.81e-01	0.747035251161831
INI23029	INI30210_PRS	L1 antigen for Human Papillomavirus type-16	Eosinophill %	0.007 (-0.006,0.019)	5.91e-01	0.75687521923254
INI23043	INI30180_PRS	Catalase antigen for Helicobacter pylori	Lymphocyte %	0.006 (-0.006,0.019)	5.95e-01	0.75687521923254
INI23000	INI30190_PRS	1gG antigen for Herpes Simplex virus-1	Monocyte %	0.006 (-0.006,0.019)	5.96e-01	0.75687521923254
INI23033	INI30180_PRS	Momp D antigen for Chlamydia trachomatis	Lymphocyte %	-0.006 (-0.018,0.006)	5.98e-01	0.756984905401706
INI23037	INI30200_PRS	PorB antigen for Chlamydia trachomatis	Neutrophill %	-0.006 (-0.018,0.006)	6.18e-01	0.779815901461931
INI23018	INI30000_PRS	Core antigen for Hepatitis C Virus	White blood cell count	0.005 (-0.006,0.016)	6.25e-01	0.782208818686156
INI23020	INI30190_PRS	P22 antigen for Toxoplasma gondii	Monocyte %	-0.006 (-0.018,0.006)	6.27e-01	0.782208818686156
INI23032	INI30140_PRS	L1 antigen for Human Papillomavirus type-18	Neutrophill count	0.006 (-0.006,0.018)	6.29e-01	0.782208818686156
INI23008	INI30210_PRS	Pp 52 antigen for Human Cytomegalovirus	Eosinophill %	0.006 (-0.006,0.018)	6.33e-01	0.782208818686156
INI23044	INI30180_PRS	UreA antigen for Helicobacter pylori	Lymphocyte %	0.006 (-0.006,0.018)	6.33e-01	0.782208818686156
INI23013	INI30180_PRS	U14 antigen for Human Herpesvirus-7	Lymphocyte %	0.006 (-0.006,0.018)	6.33e-01	0.782208818686156
INI23037	INI30180_PRS	PorB antigen for Chlamydia trachomatis	Lymphocyte %	0.006 (-0.006,0.018)	6.36e-01	0.782216733522718
INI23039	INI30120_PRS	CagA antigen for Helicobacter pylori	Lymphocyte count	0.008 (-0.009,0.025)	6.41e-01	0.782216733522718
INI23011	INI30180_PRS	IE1B antigen for Human Herpesvirus-6	Lymphocyte %	0.006 (-0.007,0.018)	6.42e-01	0.782216733522718
INI23014	INI30210_PRS	LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus	Eosinophill %	0.005 (-0.006,0.017)	6.43e-01	0.782216733522718
INI23006	INI30120_PRS	EA-D antigen for Epstein-Barr Virus	Lymphocyte count	-0.006 (-0.018,0.007)	6.44e-01	0.782216733522718
INI23007	INI30150_PRS	Pp150 Nter antigen for Human Cytomegalovirus	Eosinophill count	0.005 (-0.007,0.018)	6.52e-01	0.786378844116362
INI23039	INI30000_PRS	CagA antigen for Helicobacter pylori	White blood cell count	0.008 (-0.009,0.025)	6.52e-01	0.786378844116362
INI23042	INI30210_PRS	GroEL antigen for Helicobacter pylori	Eosinophill %	0.005 (-0.007,0.017)	6.60e-01	0.790935990930935
INI23042	INI30190_PRS	GroEL antigen for Helicobacter pylori	Monocyte %	0.005 (-0.007,0.017)	6.61e-01	0.790935990930935
INI23020	INI30150_PRS	P22 antigen for Toxoplasma gondii	Eosinophill count	0.005 (-0.007,0.017)	6.66e-01	0.793565644010903
INI23001	INI30120_PRS	2mgG unique antigen for Herpes Simplex virus-2	Lymphocyte count	0.005 (-0.007,0.017)	6.67e-01	0.793565644010903
INI23004	INI30000_PRS	EBNA-1 antigen for Epstein-Barr Virus	White blood cell count	0.005 (-0.007,0.017)	6.74e-01	0.796850806701708
INI23006	INI30180_PRS	EA-D antigen for Epstein-Barr Virus	Lymphocyte %	-0.005 (-0.017,0.007)	6.75e-01	0.796850806701708
INI23004	INI30120_PRS	EBNA-1 antigen for Epstein-Barr Virus	Lymphocyte count	-0.005 (-0.017,0.007)	6.80e-01	0.800733303862732
INI23042	INI30180_PRS	GroEL antigen for Helicobacter pylori	Lymphocyte %	0.005 (-0.007,0.016)	6.88e-01	0.806740239880322
INI23037	INI30210_PRS	PorB antigen for Chlamydia trachomatis	Eosinophill %	-0.005 (-0.017,0.007)	6.96e-01	0.814298921037776
INI23036	INI30180_PRS	Tarp-D F2 antigen for Chlamydia trachomatis	Lymphocyte %	-0.005 (-0.017,0.007)	7.01e-01	0.81456021396985
INI23034	INI30200_PRS	Momp A antigen for Chlamydia trachomatis	Neutrophill %	0.005 (-0.007,0.017)	7.01e-01	0.81456021396985
INI23016	INI30000_PRS	HBc antigen for Hepatitis B Virus	White blood cell count	0.004 (-0.007,0.015)	7.08e-01	0.81960949989193
INI23038	INI30150_PRS	PGP3 antigen for Chlamydia trachomatis	Eosinophill count	0.004 (-0.007,0.015)	7.12e-01	0.81960949989193
INI23020	INI30180_PRS	P22 antigen for Toxoplasma gondii	Lymphocyte %	0.004 (-0.008,0.016)	7.13e-01	0.81960949989193
INI23024	INI30000_PRS	HIV-1 gag antigen for Human Immunodeficiency Virus	White blood cell count	-0.004 (-0.017,0.008)	7.19e-01	0.81960949989193
INI23002	INI30180_PRS	GE / gI antigen for Varicella Zoster Virus	Lymphocyte %	-0.004 (-0.016,0.008)	7.21e-01	0.81960949989193
INI23004	INI30180_PRS	EBNA-1 antigen for Epstein-Barr Virus	Lymphocyte %	0.004 (-0.008,0.016)	7.22e-01	0.81960949989193
INI23027	INI30000_PRS	JC VP1 antigen for Human Polyomavirus JCV	White blood cell count	0.004 (-0.008,0.017)	7.24e-01	0.81960949989193
INI23006	INI30000_PRS	EA-D antigen for Epstein-Barr Virus	White blood cell count	0.004 (-0.008,0.016)	7.24e-01	0.81960949989193
INI23020	INI30210_PRS	P22 antigen for Toxoplasma gondii	Eosinophill %	-0.004 (-0.016,0.008)	7.30e-01	0.823870619633365
INI23037	INI30150_PRS	PorB antigen for Chlamydia trachomatis	Eosinophill count	0.004 (-0.008,0.016)	7.49e-01	0.840733518845059
INI23010	INI30190_PRS	IE1A antigen for Human Herpesvirus-6	Monocyte %	0.004 (-0.008,0.016)	7.50e-01	0.840733518845059
INI23011	INI30120_PRS	IE1B antigen for Human Herpesvirus-6	Lymphocyte count	0.004 (-0.008,0.016)	7.54e-01	0.843029877222195
INI23017	INI30000_PRS	HBe antigen for Hepatitis B Virus	White blood cell count	0.004 (-0.008,0.016)	7.57e-01	0.84353038718089
INI23024	INI30120_PRS	HIV-1 gag antigen for Human Immunodeficiency Virus	Lymphocyte count	-0.004 (-0.016,0.009)	7.65e-01	0.849680987294446
INI23031	INI30140_PRS	E7 antigen for Human Papillomavirus type-16	Neutrophill count	-0.003 (-0.015,0.008)	7.75e-01	0.8576245123062
INI23028	INI30190_PRS	MC VP1 antigen for Merkel Cell Polyomavirus	Monocyte %	-0.003 (-0.016,0.009)	7.89e-01	0.869263051608661
INI23000	INI30180_PRS	1gG antigen for Herpes Simplex virus-1	Lymphocyte %	0.003 (-0.009,0.015)	7.91e-01	0.869263051608661
INI23033	INI30200_PRS	Momp D antigen for Chlamydia trachomatis	Neutrophill %	-0.003 (-0.015,0.009)	7.93e-01	0.869263051608661
INI23030	INI30140_PRS	E6 antigen for Human Papillomavirus type-16	Neutrophill count	0.003 (-0.009,0.014)	8.02e-01	0.876881476399036
INI23027	INI30190_PRS	JC VP1 antigen for Human Polyomavirus JCV	Monocyte %	0.003 (-0.009,0.015)	8.14e-01	0.887192100742828
INI23023	INI30140_PRS	HTLV-1 env antigen for Human T-Lymphotropic Virus 1	Neutrophill count	-0.003 (-0.015,0.009)	8.20e-01	0.887264746464066
INI23006	INI30140_PRS	EA-D antigen for Epstein-Barr Virus	Neutrophill count	0.003 (-0.009,0.015)	8.21e-01	0.887264746464066
INI23034	INI30210_PRS	Momp A antigen for Chlamydia trachomatis	Eosinophill %	0.003 (-0.009,0.015)	8.22e-01	0.887264746464066
INI23018	INI30140_PRS	Core antigen for Hepatitis C Virus	Neutrophill count	-0.002 (-0.013,0.009)	8.31e-01	0.894284023439577
INI23021	INI30210_PRS	Sag1 antigen for Toxoplasma gondii	Eosinophill %	0.003 (-0.010,0.015)	8.34e-01	0.895434883027303
INI23038	INI30210_PRS	PGP3 antigen for Chlamydia trachomatis	Eosinophill %	-0.002 (-0.013,0.009)	8.48e-01	0.907470493429805
INI23004	INI30140_PRS	EBNA-1 antigen for Epstein-Barr Virus	Neutrophill count	0.002 (-0.010,0.014)	8.58e-01	0.915257714782755
INI23002	INI30150_PRS	GE / gI antigen for Varicella Zoster Virus	Eosinophill count	-0.002 (-0.014,0.010)	8.64e-01	0.916557505541797
INI23033	INI30210_PRS	Momp D antigen for Chlamydia trachomatis	Eosinophill %	-0.002 (-0.014,0.010)	8.67e-01	0.916557505541797
INI23002	INI30190_PRS	GE / gI antigen for Varicella Zoster Virus	Monocyte %	-0.002 (-0.014,0.010)	8.67e-01	0.916557505541797
INI23034	INI30190_PRS	Momp A antigen for Chlamydia trachomatis	Monocyte %	0.002 (-0.010,0.014)	8.70e-01	0.916557505541797
INI23020	INI30200_PRS	P22 antigen for Toxoplasma gondii	Neutrophill %	0.002 (-0.010,0.014)	8.78e-01	0.92279788044306
INI23036	INI30200_PRS	Tarp-D F2 antigen for Chlamydia trachomatis	Neutrophill %	-0.002 (-0.014,0.010)	8.83e-01	0.924036530992042
INI23003	INI30190_PRS	VCA p18 antigen for Epstein-Barr Virus	Monocyte %	-0.002 (-0.014,0.010)	8.85e-01	0.924036530992042
INI23022	INI30120_PRS	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	Lymphocyte count	-0.002 (-0.014,0.010)	8.90e-01	0.924821812990131
INI23034	INI30120_PRS	Momp A antigen for Chlamydia trachomatis	Lymphocyte count	0.002 (-0.010,0.014)	8.91e-01	0.924821812990131
INI23002	INI30210_PRS	GE / gI antigen for Varicella Zoster Virus	Eosinophill %	-0.001 (-0.014,0.011)	9.02e-01	0.934309276377974
INI23001	INI30180_PRS	2mgG unique antigen for Herpes Simplex virus-2	Lymphocyte %	-0.001 (-0.013,0.011)	9.16e-01	0.944019721539323
INI23040	INI30140_PRS	VacA antigen for Helicobacter pylori	Neutrophill count	0.001 (-0.011,0.013)	9.17e-01	0.944019721539323
INI23011	INI30210_PRS	IE1B antigen for Human Herpesvirus-6	Eosinophill %	-0.001 (-0.014,0.011)	9.20e-01	0.944378971076447
INI23017	INI30120_PRS	HBe antigen for Hepatitis B Virus	Lymphocyte count	0.001 (-0.011,0.013)	9.26e-01	0.947081949955449
INI23041	INI30210_PRS	OMP antigen for Helicobacter pylori	Eosinophill %	0.001 (-0.011,0.013)	9.29e-01	0.94734732356944
INI23035	INI30150_PRS	Tarp-D F1 antigen for Chlamydia trachomatis	Eosinophill count	0.001 (-0.011,0.012)	9.34e-01	0.950624471386387
INI23009	INI30210_PRS	Pp 28 antigen for Human Cytomegalovirus	Eosinophill %	-0.001 (-0.013,0.011)	9.40e-01	0.953241365022219
INI23007	INI30210_PRS	Pp150 Nter antigen for Human Cytomegalovirus	Eosinophill %	-0.001 (-0.013,0.011)	9.50e-01	0.961139717287768
INI23041	INI30180_PRS	OMP antigen for Helicobacter pylori	Lymphocyte %	0.001 (-0.011,0.013)	9.55e-01	0.961884658877677
INI23010	INI30140_PRS	IE1A antigen for Human Herpesvirus-6	Neutrophill count	0.001 (-0.012,0.013)	9.56e-01	0.961884658877677
INI23041	INI30120_PRS	OMP antigen for Helicobacter pylori	Lymphocyte count	-0.001 (-0.013,0.011)	9.63e-01	0.965873953172771
INI23002	INI30000_PRS	GE / gI antigen for Varicella Zoster Virus	White blood cell count	-0.000 (-0.012,0.012)	9.79e-01	0.978748824746117
